experiment,code,decoder,bp_method,distance,physical_error_probability,shots,raw_logical_errors,decoded_logical_errors,raw_logical_error_rate,decoded_logical_error_rate
surface_code_capacity,surface_code,nv-qldpc-decoder,0,3,0.0001,100000,32,20,0.00032,0.0002
surface_code_capacity,surface_code,nv-qldpc-decoder,0,3,0.0002,100000,50,36,0.0005,0.00036
surface_code_capacity,surface_code,nv-qldpc-decoder,0,3,0.0005,100000,160,115,0.0016,0.00115
surface_code_capacity,surface_code,nv-qldpc-decoder,0,3,0.001,100000,333,225,0.00333,0.00225
surface_code_capacity,surface_code,nv-qldpc-decoder,0,3,0.002,100000,605,427,0.00605,0.00427
surface_code_capacity,surface_code,nv-qldpc-decoder,0,3,0.003,100000,907,614,0.00907,0.00614
surface_code_capacity,surface_code,nv-qldpc-decoder,0,3,0.005,100000,1556,1069,0.01556,0.01069
surface_code_capacity,surface_code,nv-qldpc-decoder,0,5,0.0001,100000,55,46,0.00055,0.00046
surface_code_capacity,surface_code,nv-qldpc-decoder,0,5,0.0002,100000,97,78,0.00097,0.00078
surface_code_capacity,surface_code,nv-qldpc-decoder,0,5,0.0005,100000,251,205,0.00251,0.00205
surface_code_capacity,surface_code,nv-qldpc-decoder,0,5,0.001,100000,494,398,0.00494,0.00398
surface_code_capacity,surface_code,nv-qldpc-decoder,0,5,0.002,100000,921,730,0.00921,0.0073
surface_code_capacity,surface_code,nv-qldpc-decoder,0,5,0.003,100000,1418,1132,0.01418,0.01132
surface_code_capacity,surface_code,nv-qldpc-decoder,0,5,0.005,100000,2445,1943,0.02445,0.01943
surface_code_capacity,surface_code,nv-qldpc-decoder,0,7,0.0001,100000,89,80,0.00089,0.0008
surface_code_capacity,surface_code,nv-qldpc-decoder,0,7,0.0002,100000,137,115,0.00137,0.00115
surface_code_capacity,surface_code,nv-qldpc-decoder,0,7,0.0005,100000,334,297,0.00334,0.00297
surface_code_capacity,surface_code,nv-qldpc-decoder,0,7,0.001,100000,662,574,0.00662,0.00574
surface_code_capacity,surface_code,nv-qldpc-decoder,0,7,0.002,100000,1408,1207,0.01408,0.01207
surface_code_capacity,surface_code,nv-qldpc-decoder,0,7,0.003,100000,2036,1775,0.02036,0.01775
surface_code_capacity,surface_code,nv-qldpc-decoder,0,7,0.005,100000,3502,3007,0.03502,0.03007
