code,decoder,bp_method,distance,rounds,physical_error_probability,shots,logical_errors_without_decoding,logical_errors_with_decoding,logical_error_rate_without_decoding,logical_error_rate_with_decoding
surface_code,nv-qldpc-decoder,0,3,3,0.0005,10000,67,34,0.0067,0.0034
surface_code,nv-qldpc-decoder,0,3,3,0.001,10000,134,52,0.0134,0.0052
surface_code,nv-qldpc-decoder,0,3,3,0.002,10000,209,127,0.0209,0.0127
surface_code,nv-qldpc-decoder,0,3,3,0.003,10000,336,169,0.0336,0.0169
surface_code,nv-qldpc-decoder,0,3,3,0.005,10000,590,349,0.059,0.0349
surface_code,nv-qldpc-decoder,0,3,3,0.007,10000,852,475,0.0852,0.0475
surface_code,nv-qldpc-decoder,0,3,3,0.01,10000,1152,701,0.1152,0.0701
surface_code,nv-qldpc-decoder,0,5,5,0.0005,10000,193,55,0.0193,0.0055
surface_code,nv-qldpc-decoder,0,5,5,0.001,10000,382,103,0.0382,0.0103
surface_code,nv-qldpc-decoder,0,5,5,0.002,10000,704,231,0.0704,0.0231
surface_code,nv-qldpc-decoder,0,5,5,0.003,10000,1083,396,0.1083,0.0396
surface_code,nv-qldpc-decoder,0,5,5,0.005,10000,1625,741,0.1625,0.0741
surface_code,nv-qldpc-decoder,0,5,5,0.007,10000,2153,1104,0.2153,0.1104
surface_code,nv-qldpc-decoder,0,5,5,0.01,10000,2710,1678,0.271,0.1678
surface_code,nv-qldpc-decoder,0,7,7,0.0005,10000,412,66,0.0412,0.0066
surface_code,nv-qldpc-decoder,0,7,7,0.001,10000,780,150,0.078,0.015
surface_code,nv-qldpc-decoder,0,7,7,0.002,10000,1385,342,0.1385,0.0342
surface_code,nv-qldpc-decoder,0,7,7,0.003,10000,1907,597,0.1907,0.0597
surface_code,nv-qldpc-decoder,0,7,7,0.005,10000,2752,1133,0.2752,0.1133
surface_code,nv-qldpc-decoder,0,7,7,0.007,10000,3330,1740,0.333,0.174
surface_code,nv-qldpc-decoder,0,7,7,0.01,10000,4068,2686,0.4068,0.2686
